winner,winner score,loser score,strategy,opponent,against,hand,length,target
tree-v6,452,487,"[3, 2, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0]",3,3 3 4 4 8 8 9 10 J J J Q Q Q Q K A A A 2 2 2,22,pass
tree-v6,452,487,"[3, 2, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 1]",7,3 3 4 4 8 8 9 10 J J J Q Q Q Q K A A A 2 2 2,17,best
tree-v6,452,487,"[3, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 1]",1,8 8 9 10 Q Q Q Q K,15,best
tree-v6,452,487,"[3, 0, 0, 0, 0, 1, 0, 0]","[0, 2, 0, 1, 0, 0, 0, 1]",1,9 10 Q Q Q Q K,13,pass
tree-v6,452,487,"[3, 0, 0, 0, 0, 1, 0, 0]","[1, 2, 0, 1, 0, 0, 0, 1]",0,9 10 Q Q Q Q K,12,best
tree-v6,452,487,"[2, 0, 0, 0, 0, 1, 0, 0]","[1, 2, 0, 1, 0, 1, 0, 1]",5,9 10 Q Q Q Q,8,best
tree-v6,452,487,"[1, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 0, 1, 0, 1, 0, 1]",0,10,7,best
tree-v6,452,487,"[1, 0, 0, 0, 0, 0, 0, 0]","[3, 2, 0, 1, 0, 1, 0, 1]",0,10,6,best
tree-v6,504,470,"[4, 3, 1, 0, 1, 2, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",2,3 4 4 5 5 6 6 6 7 7 7 7 8 9 9 10 10 J J Q Q K K K K A 2,24,best
tree-v6,504,470,"[4, 3, 0, 0, 1, 2, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0]",5,3 4 4 5 5 7 7 7 7 8 9 9 10 10 J J Q Q K K K K A 2,20,best
tree-v6,504,470,"[4, 3, 0, 0, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 2, 0, 0]",5,3 4 4 5 5 8 9 9 10 10 J J Q Q K K K K A 2,16,best
tree-v6,504,470,"[4, 3, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 3, 0, 0]",5,3 4 4 5 5 8 9 9 10 10 J J Q Q A 2,12,pass
tree-v6,504,470,"[4, 3, 0, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 0, 3, 0, 0]",0,3 4 4 5 5 8 9 9 10 10 J J Q Q A 2,11,best
tree-v6,504,470,"[3, 3, 0, 0, 1, 0, 0, 0]","[2, 0, 1, 0, 0, 3, 0, 0]",0,3 4 4 5 5 9 9 10 10 J J Q Q A 2,10,pass
tree-v6,504,470,"[3, 3, 0, 0, 1, 0, 0, 0]","[2, 1, 1, 0, 0, 3, 0, 0]",1,3 4 4 5 5 9 9 10 10 J J Q Q A 2,8,pass
tree-v6,504,470,"[3, 3, 0, 0, 1, 0, 0, 0]","[2, 2, 1, 0, 0, 3, 0, 0]",1,3 4 4 5 5 9 9 10 10 J J Q Q A 2,6,pass
tree-v6,516,469,"[1, 4, 3, 1, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",2,3 3 3 4 5 5 5 6 7 7 7 8 8 8 10 10 J J J K A A A A 2 2 2,24,best
tree-v6,516,469,"[1, 4, 2, 1, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0]",5,3 3 3 4 5 5 5 6 7 7 7 8 8 8 10 10 J J J K A A A A,20,best
tree-v6,516,469,"[1, 4, 2, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 2, 0, 0]",5,3 3 3 4 5 5 5 6 7 7 7 8 8 8 10 10 J J J K,16,pass
tree-v6,516,469,"[1, 4, 2, 1, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 2, 0, 0]",2,3 3 3 4 5 5 5 6 7 7 7 8 8 8 10 10 J J J K,13,pass
tree-v6,516,469,"[1, 4, 2, 1, 0, 0, 0, 0]","[1, 0, 2, 0, 0, 2, 0, 0]",0,3 3 3 4 5 5 5 6 7 7 7 8 8 8 10 10 J J J K,12,best
tree-v6,516,469,"[0, 4, 2, 1, 0, 0, 0, 0]","[1, 0, 2, 0, 0, 3, 0, 0]",5,3 3 3 4 5 5 5 6 7 7 7 8 8 8 10 10 J J J,8,pass
tree-v6,516,469,"[0, 4, 2, 1, 0, 0, 0, 0]","[1, 1, 2, 0, 0, 3, 0, 0]",1,3 3 3 4 5 5 5 6 7 7 7 8 8 8 10 10 J J J,6,pass
tree-v6,516,469,"[0, 3, 2, 1, 0, 0, 0, 0]","[1, 2, 2, 0, 0, 3, 0, 0]",1,3 3 3 4 5 5 5 6 7 8 8 8 10 10 J J J,4,pass
tree-v6,516,469,"[0, 3, 2, 1, 0, 0, 0, 0]","[1, 3, 2, 0, 0, 3, 0, 0]",1,3 3 3 4 5 5 5 6 7 8 8 8 10 10 J J J,2,pass
tree-v6,465,501,"[2, 4, 2, 0, 0, 2, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",2,3 3 3 3 4 4 6 7 7 10 J J Q Q Q K K A A A 2 2 2 2,24,best
tree-v6,465,501,"[2, 3, 0, 0, 0, 2, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0]",1,3 3 3 3 6 7 7 10 J J K K 2 2 2 2,22,best
tree-v6,465,501,"[2, 2, 0, 0, 0, 2, 0, 0]","[0, 2, 1, 0, 0, 0, 0, 0]",1,3 3 3 3 6 10 J J K K 2 2 2 2,20,best
tree-v6,465,501,"[2, 1, 0, 0, 0, 2, 0, 0]","[0, 3, 1, 0, 0, 0, 0, 0]",1,3 3 3 3 6 10 J J 2 2 2 2,18,pass
tree-v6,465,501,"[2, 1, 0, 0, 0, 2, 0, 0]","[0, 3, 2, 0, 0, 0, 0, 0]",2,3 3 3 3 6 10 J J 2 2 2 2,15,pass
tree-v6,465,501,"[2, 1, 0, 0, 0, 2, 0, 0]","[1, 3, 2, 0, 0, 0, 0, 0]",0,3 3 3 3 6 10 J J 2 2 2 2,14,best
tree-v6,465,501,"[1, 1, 0, 0, 0, 2, 0, 0]","[2, 3, 2, 0, 0, 0, 0, 0]",0,3 3 3 3 6 J J 2 2 2 2,13,pass
tree-v6,465,501,"[1, 1, 0, 0, 0, 2, 0, 0]","[2, 3, 2, 1, 0, 0, 0, 0]",3,3 3 3 3 6 J J 2 2 2 2,8,pass
tree-v6,465,501,"[1, 1, 0, 0, 0, 2, 0, 0]","[2, 3, 2, 1, 0, 1, 0, 0]",5,3 3 3 3 6 J J 2 2 2 2,4,pass
AI-origin,466,441,"[2, 4, 1, 2, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",2,3 4 4 4 5 5 6 6 6 7 8 8 8 8 10 10 10 J Q K K A A A 2 2 2,24,best
AI-origin,466,441,"[2, 4, 0, 2, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0]",5,3 4 4 4 5 5 6 6 6 7 8 8 8 8 10 10 10 J Q K K A A A,20,best
AI-origin,466,441,"[2, 4, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 1, 0, 0]",3,4 4 5 6 6 10 10 10 J Q K K A A A,15,best
AI-origin,466,441,"[1, 4, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 1, 0, 0]",0,4 4 6 6 10 10 K A A,14,best
AI-origin,466,441,"[0, 4, 0, 0, 0, 0, 0, 0]","[2, 0, 1, 1, 0, 1, 0, 0]",0,4 4 6 6 10 10 A A,13,pass
AI-origin,466,441,"[0, 4, 0, 0, 0, 0, 0, 0]","[3, 0, 1, 1, 0, 1, 0, 0]",0,4 4 6 6 10 10 A A,12,pass
AI-origin,466,441,"[0, 4, 0, 0, 0, 0, 0, 0]","[4, 0, 1, 1, 0, 1, 0, 0]",0,4 4 6 6 10 10 A A,11,pass
AI-origin,466,441,"[0, 4, 0, 0, 0, 0, 0, 0]","[4, 1, 1, 1, 0, 1, 0, 0]",1,4 4 6 6 10 10 A A,9,best
AI-origin,466,441,"[0, 3, 0, 0, 0, 0, 0, 0]","[4, 2, 1, 1, 0, 1, 0, 0]",1,4 4 6 6 A A,7,best
AI-origin,466,441,"[0, 3, 0, 0, 0, 0, 0, 0]","[4, 3, 1, 1, 0, 1, 0, 0]",1,4 4 6 6 A A,5,best
tree-v6,474,458,"[1, 2, 0, 1, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",5,3 3 4 4 5 5 6 6 7 7 8 8 9 9 J Q Q K A 2 2 2,22,pass
tree-v6,474,458,"[1, 2, 0, 1, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1]",7,3 3 4 4 5 5 6 6 7 7 8 8 9 9 J Q Q K A 2 2 2,17,pass
tree-v6,474,458,"[1, 2, 0, 1, 2, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1]",0,3 3 4 4 5 5 6 6 7 7 8 8 9 9 J Q Q K A 2 2 2,16,best
tree-v6,474,458,"[0, 2, 0, 0, 2, 0, 0, 0]","[1, 0, 0, 0, 0, 2, 0, 1]",5,3 3 4 4 5 5 6 6 7 7 8 8 9 9 2 2,11,pass
tree-v6,474,458,"[0, 2, 0, 0, 2, 0, 0, 0]","[2, 0, 0, 0, 0, 2, 0, 1]",0,3 3 4 4 5 5 6 6 7 7 8 8 9 9 2 2,10,pass
tree-v6,474,458,"[0, 2, 0, 0, 2, 0, 0, 0]","[2, 1, 0, 0, 0, 2, 0, 1]",1,3 3 4 4 5 5 6 6 7 7 8 8 9 9 2 2,8,best
tree-v6,474,458,"[0, 1, 0, 0, 1, 0, 0, 0]","[2, 1, 0, 0, 1, 2, 0, 1]",4,3 3 7 7 8 8 9 9,2,best
AI-origin,479,488,"[4, 2, 2, 1, 0, 2, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",2,3 4 5 5 6 6 7 7 7 7 7 8 8 8 9 9 9 10 Q K K K K A A 2 2,24,pass
AI-origin,479,488,"[4, 2, 2, 1, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]",2,3 4 5 5 6 6 7 7 7 7 7 8 8 8 9 9 9 10 Q K K K K A A 2 2,21,pass
AI-origin,479,488,"[4, 2, 2, 1, 0, 2, 0, 0]","[1, 0, 2, 0, 0, 0, 0, 0]",0,3 4 5 5 6 6 7 7 7 7 7 8 8 8 9 9 9 10 Q K K K K A A 2 2,20,best
AI-origin,479,488,"[3, 2, 2, 1, 0, 2, 0, 0]","[2, 0, 2, 0, 0, 0, 0, 0]",0,3 4 5 6 6 7 7 7 7 7 8 8 8 9 9 9 10 Q K K K K A A 2 2,19,best
AI-origin,479,488,"[2, 2, 2, 1, 0, 2, 0, 0]","[3, 0, 2, 0, 0, 0, 0, 0]",0,3 4 5 6 6 7 7 7 7 7 8 8 8 9 9 9 Q K K K K A A 2 2,18,pass
AI-origin,479,488,"[2, 2, 2, 1, 0, 2, 0, 0]","[4, 0, 2, 0, 0, 0, 0, 0]",0,3 4 5 6 6 7 7 7 7 7 8 8 8 9 9 9 Q K K K K A A 2 2,17,best
AI-origin,479,488,"[1, 2, 2, 1, 0, 2, 0, 0]","[4, 0, 2, 0, 0, 1, 0, 0]",5,3 4 5 6 7 7 7 7 7 8 8 8 9 9 9 Q K K K K A A 2 2,13,best
