winner,winner score,loser score,target,strategy,opponent,hand,used
tree-v6,520,532,1,"[0, 2, 0, 1, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",6 7 8 9 10 J J Q Q Q Q A A 2 2 2 2, 9 2 5 5 5 5 K 3 3 8 8 
tree-v6,520,532,1,"[0, 1, 0, 1, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",6 7 8 9 10 Q Q Q Q A A 2 2 2 2, 9 2 5 5 5 5 K 3 3 8 8 J J 
tree-v6,520,532,3,"[0, 0, 0, 1, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",6 7 8 9 10 Q Q Q Q 2 2 2 2, 9 2 5 5 5 5 K 3 3 8 8 J J A A 
tree-v6,520,532,5,"[0, 0, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",Q Q Q Q 2 2 2 2, 9 2 5 5 5 5 K 3 3 8 8 J J A A 6 7 8 9 10 
tree-v6,457,441,3,"[2, 2, 0, 2, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 3 4 5 5 6 7 7 7 8 8 8 9 9 9 10 10 J Q K A A A 2 2 2, 
tree-v6,457,441,7,"[2, 2, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 5 7 7 8 8 8 9 9 10 A A A 2 2 2, 3 4 5 6 7 6 7 8 9 10 9 10 J Q K 
tree-v6,457,441,0,"[2, 2, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",5 7 7 9 9 10 A A A 2 2 2, 3 4 5 6 7 6 7 8 9 10 9 10 J Q K 8 8 8 3 3 
tree-v6,457,441,2,"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 2, 1, 0, 0, 1]",9 9 10 2 2 2, 3 4 5 6 7 6 7 8 9 10 9 10 J Q K 8 8 8 3 3 5 2 7 8 9 10 J Q Q K K A A 3 3 3 4 4 A A A 7 7 
tree-v6,457,441,0,"[1, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 2, 1, 0, 0, 1]",9 9 10, 3 4 5 6 7 6 7 8 9 10 9 10 J Q K 8 8 8 3 3 5 2 7 8 9 10 J Q Q K K A A 3 3 3 4 4 A A A 7 7 2 2 2 
tree-v6,457,441,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 2, 1, 0, 0, 1]",9 9, 3 4 5 6 7 6 7 8 9 10 9 10 J Q K 8 8 8 3 3 5 2 7 8 9 10 J Q Q K K A A 3 3 3 4 4 A A A 7 7 2 2 2 10 
